Store Number,Delivery.Schedule
954,MoTh
955,TuFr
956,TuFr
957,Tu
958,MoFr
959,Sa
960,Sa
961,TuFr
962,Fr
963,TuFr
964,Sa
965,TuFr
966,MoTh
967,Sa
968,Th
969,MoWeFr
970,MoFr
971,Th
972,TuFr
973,TuSa
974,Sa
975,MoWeFr
976,TuFr
977,TuFr
978,TuFr
979,Th
980,WeFr
981,TuFr
982,Fr
984,MoTh
985,MoTh
986,MoTh
987,Sa
988,Mo
989,Fr
990,MoFr
991,Fr
992,MoFr
993,TuFr
994,TuSa
995,Th
996,We
998,TuFr
999,TuFr
1000,Mo
1001,TuFr
1002,TuFr
1003,Fr
1004,TuFrSa
1005,TuTh
1006,MoFr
1007,TuFr
1008,Fr
1009,Th
1010,WeFr
1011,MoTh
1012,TuFr
1013,TuFr
1014,MoWe
1015,TuSa
1016,Fr
1017,TuTh
1018,Fr
1019,TuFr
1021,TuFr
1022,MoTh
1023,TuFr
1024,MoTh
1025,TuFr
1026,MoTh
1027,TuFr
1028,Sa
1029,MoSa
1030,TuFr
1032,TuThFr
1033,MoFr
1034,MoWeFr
1035,TuFr
1036,MoWeFr
1037,MoTh
1038,Tu
1039,Tu
1040,We
1041,TuFr
1042,MoTh
1043,MoTh
1044,TuFr
1045,Th
1046,TuFr
1047,MoFr
1050,We
1052,TuFr
1053,MoTh
1054,TuFr
1055,WeFr
1056,TuFr
1057,Th
1058,Fr
1059,TuFr
1060,TuFr
1061,MoFr
1062,WeSa
1063,We
1064,TuFr
1066,MoWe
1067,WeSa
1068,Sa
1069,TuFr
1070,Fr
1071,TuFr
1072,WeFr
1073,TuTh
1074,MoThFr
1075,TuFr
1076,TuFr
1077,Sa
1078,Tu
1079,TuFrSa
1080,TuFr
1081,WeFr
1082,WeSa
1083,Sa
1084,MoTh
1085,TuSa
1086,TuThSa
1087,TuSa
1088,MoFr
1089,MoTh
1090,Sa
1091,TuTh
1092,Fr
1093,TuTh
1094,MoTh
1095,Tu
1096,MoTh
1097,TuFr
1098,TuFr
1099,Tu
1100,Tu
1101,TuFr
1102,Tu
1103,Fr
1104,Sa
1105,TuFr
1106,TuFr
1107,TuFr
1109,TuFr
1110,TuFr
1111,Mo
1112,TuFr
1115,TuFr
1116,MoFr
1117,TuFr
1118,TuFr
1119,WeFr
1120,MoFr
1121,TuFr
1122,MoTh
1123,MoTh
1125,MoTh
1126,TuFr
1127,We
1128,TuFr
1129,TuTh
1130,MoFr
1131,Tu
1132,MoTh
1133,MoTh
1134,MoTh
1135,TuTh
1136,MoTh
1137,TuTh
1138,Th
1139,TuFr
1140,MoTh
1141,MoTh
1143,Tu
1144,MoTh
1146,TuFr
1147,TuFr
1148,MoTuTh
1149,MoFr
1150,MoTh
1151,MoFr
1152,TuFr
1153,Tu
1154,TuFr
1155,Fr
1156,MoTh
1157,MoFr
1158,MoTh
1159,TuFr
1160,Fr
1161,TuFr
1162,MoFr
1163,TuFr
1164,TuTh
1165,Fr
1166,TuFr
1167,TuFr
1168,TuFr
1169,TuFr
1170,Fr
1171,TuThSa
1172,Sa
1173,Sa
1174,Mo
1175,TuFr
1176,Tu
1177,TuFr
1178,Tu
1179,MoFr
1180,MoFr
1181,TuFr
1182,Sa
1183,TuFr
1184,MoTh
1185,TuFr
1186,TuFr
1187,TuFr
1188,Th
1191,MoTh
1192,MoTh
1193,TuFr
1194,Mo
1195,MoTh
1196,TuFr
1197,TuFr
1198,TuFr
1199,We
1200,Tu
1201,Fr
1202,TuThFr
1203,Mo
1204,TuFr
1205,TuThSa
1206,TuFr
1207,MoTuFr
1209,We
1210,TuFr
1211,We
1212,MoTh
1213,MoSa
1214,Mo
1215,Fr
1216,MoTh
1217,MoTuFr
1218,TuFr
1219,Sa
1220,TuFr
1221,Tu
1222,MoFr
1223,Sa
1224,TuFr
1225,Sa
1226,TuFr
1227,Th
1228,Mo
1229,WeFr
1230,TuFr
1231,Fr
1232,TuFr
1233,Mo
1235,TuFr
1236,TuFr
1237,WeFr
1238,TuFr
1239,MoTh
1240,TuFr
1241,TuFr
1242,TuTh
1243,MoTh
1244,TuFr
1245,TuThSa
1247,Tu
1248,TuFr
1249,MoTh
1252,We
1253,TuFr
1255,TuTh
1256,Mo
1261,TuTh
1262,Tu
1264,TuFr
1265,TuFr
1266,MoTh
1267,MoWe
1268,MoTh
1269,TuFr
1270,TuFr
1271,TuFr
1272,MoTh
1273,We
1274,MoTh
1275,Mo
1276,TuFr
1277,TuFr
1278,Th
1279,Fr
1280,Fr
1281,MoTh
1282,TuFr
1283,WeFr
1284,TuFr
1285,MoTh
1286,MoTh
1287,TuFr
1288,TuTh
1289,Fr
1290,MoTh
1291,Fr
1292,WeFr
1293,TuFr
1294,Th
1295,TuFr
1296,TuFr
1297,Sa
1298,TuFr
1299,MoFr
1300,TuFr
1301,WeFr
1302,TuFr
1303,Mo
1304,MoTh
1305,Tu
1306,TuFr
1307,MoFr
1308,TuWe
1309,TuFr
1310,MoTh
1311,MoTh
1312,TuFr
1313,TuFr
1314,MoTh
1316,TuFr
1317,MoTuWeFr
1318,TuFr
1319,Mo
1320,TuFr
1321,TuTh
1322,TuFr
1324,TuFr
1325,We
1326,WeFr
1327,Fr
1328,TuTh
1329,Fr
1330,MoTh
1331,MoTh
1332,TuFr
1333,MoTh
1335,TuFr
1336,MoTh
1337,MoTh
1338,Fr
1339,Fr
1340,TuFr
1341,MoFr
1342,TuTh
1344,MoTh
1345,TuFr
1346,MoWeFr
1347,WeFr
1348,TuFr
1349,We
1350,TuFr
1351,TuFr
1352,TuFr
1353,MoTh
1354,TuFr
1355,Fr
1356,MoFr
1357,TuTh
1358,Fr
1359,TuFr
1360,TuFr
1361,TuFr
1362,TuWeFr
1363,Tu
1364,TuFr
1366,WeFr
1367,Th
1369,TuFr
1370,Fr
1371,Fr
1372,TuFr
1373,Th
1374,TuFr
1375,TuFr
1376,MoTh
1377,Mo
1378,Fr
1379,TuFr
1381,WeSa
1382,Fr
1383,TuFr
1384,TuFr
1385,MoTh
1386,TuFr
1387,Sa
1388,TuFr
1389,TuFr
1390,TuSa
1391,MoThSa
1392,TuFr
1393,MoTh
1394,MoTh
1395,Th
1396,MoFr
1397,Fr
1398,Fr
1399,WeFr
1400,MoTh
1401,Fr
1403,TuFr
1404,Fr
1405,TuFr
1406,TuFr
1407,Th
1408,Sa
1409,MoTh
1410,TuFr
1411,TuFr
1412,TuFr
1413,Fr
1414,Tu
1415,TuFr
1416,MoTh
1417,MoFr
1418,TuTh
1419,TuFr
1420,MoTh
1421,Sa
1422,TuFr
1423,TuFr
1424,TuFr
1425,TuFr
1426,Fr
1427,Tu
1428,TuFr
1429,Fr
1430,MoFr
1431,MoTh
1432,MoTh
1433,TuFr
1434,Fr
1435,TuFr
1436,WeFr
1437,TuFr
1438,MoFr
1439,MoTh
1440,MoFr
1441,TuFr
1442,TuFr
1443,TuTh
1444,Sa
1445,Fr
1447,TuTh
1448,TuFr
1449,WeFr
1450,MoWe
1451,TuFr
1452,Tu
1453,TuFr
1454,TuThFr
1455,Fr
1457,Mo
1458,MoTh
1459,Th
1460,WeFr
1461,Tu
1462,TuFr
1463,TuFr
1464,MoTh
1465,MoFr
1466,TuFr
1468,TuFr
1469,MoTh
1470,TuFr
1471,TuFr
1472,Mo
1473,Fr
1474,TuFr
1475,TuFr
1476,TuFr
1477,TuFr
1479,TuTh
1480,TuFr
1481,WeFr
1482,Tu
1483,Mo
1486,TuFr
1487,TuFr
1488,TuFr
1489,MoTh
1490,We
1491,MoTh
1492,Th
1493,MoTh
1494,MoWe
1495,Tu
1496,TuTh
1497,We
1498,MoTh
1499,TuFr
1501,MoTh
1502,WeFr
1503,TuFr
1504,MoTh
1505,MoTuFr
1506,TuFr
1507,MoWe
1509,We
1510,MoFr
1511,Th
1512,MoTh
1513,Mo
1514,TuThFr
1515,TuFr
1516,We
1517,Sa
1518,Mo
1519,TuFr
1520,TuFr
1521,TuFr
1522,Mo
1523,MoTh
1524,TuFr
1525,TuFr
1526,MoTh
1527,Fr
1528,TuFr
1530,Fr
1531,TuFr
1532,Fr
1533,WeSa
1534,Mo
1535,MoTh
1536,Tu
1538,TuTh
1539,Mo
1540,TuFr
1541,TuSa
1542,TuFr
1543,MoWeFr
1544,TuFr
1545,TuFr
1546,TuFr
1547,Fr
1548,MoWeFr
1549,WeSa
1551,TuFr
1552,MoTh
1553,MoFr
1554,TuFr
1555,TuFr
1556,MoFr
1557,Fr
1558,TuFr
1559,TuFr
1560,Tu
1561,TuFr
1563,Fr
1564,TuFr
1565,We
1566,Fr
1567,We
1569,TuFr
1570,TuFr
1571,Mo
1572,MoFr
1573,TuFr
1574,TuFr
1575,MoTuFr
1576,We
1577,Fr
1578,MoTh
1579,MoTh
1580,Fr
1583,WeFr
1584,TuTh
1585,TuThFr
1586,TuFr
1587,Mo
1588,TuFr
1589,Sa
1590,WeFr
1592,TuFr
1593,MoFr
1594,MoTh
1595,MoTuFr
1597,MoTh
1598,MoTh
1599,TuFr
1600,Fr
1601,Fr
1602,TuTh
1603,TuFr
1604,WeFr
1605,Fr
1606,TuFr
1609,TuFr
1610,Th
1611,TuFr
1612,TuFr
1613,MoTh
1614,MoTh
1615,TuFr
1616,TuFr
1618,Fr
1619,TuFr
1620,MoTh
1621,TuFr
1622,TuFr
1624,TuFr
1625,TuFr
1626,TuFr
1627,Tu
1628,Th
1629,MoTh
1630,TuFr
1631,TuFr
1632,Fr
1633,Fr
1634,We
1635,MoWeTh
1636,MoFr
1637,TuFr
1638,TuFr
1639,MoTu
1641,Fr
1642,TuFr
1643,MoFr
1645,TuFr
1646,TuFr
1647,TuFr
1648,TuFr
1649,Tu
1650,MoTh
1651,Th
1652,Mo
1653,TuFr
1654,TuFr
1655,MoFr
1657,TuFr
1658,TuFr
1659,Fr
1660,TuFr
1661,TuTh
1662,TuFr
1663,TuWeFr
1664,TuTh
1665,Th
1666,TuFr
1667,We
1668,Fr
1669,TuFr
1671,TuFr
1673,TuFr
1675,Mo
1676,TuFr
1677,MoFr
1678,TuFr
1679,TuFr
1680,WeFr
1681,MoTh
1682,Fr
1683,We
1685,Tu
1686,TuFr
1687,MoWeFr
1688,Mo
1689,Th
1690,TuFr
1691,MoTh
1692,We
1693,WeFr
1694,Mo
1695,MoTh
1696,We
1698,MoTh
1699,MoWeFr
1700,WeFr
1702,Fr
1703,TuFr
1704,Tu
1708,MoTh
1709,TuFr
1710,MoTh
1712,TuFr
1713,TuFr
1714,TuFr
1718,MoTh
1719,TuFr
1720,Tu
1721,TuFr
1722,TuFr
1723,TuFr
1724,Mo
1726,TuTh
1727,MoTh
1728,Fr
1729,We
1730,Fr
1731,MoTh
1732,MoWe
1733,TuFr
1734,Tu
1735,TuTh
1737,MoTh
1738,Tu
1740,TuFr
1744,TuFr
1745,Fr
1746,WeSa
1747,WeFr
1748,TuFr
1749,TuTh
1750,MoTh
1751,We
1752,TuTh
1753,TuFr
1754,MoTh
1755,TuFr
1756,Fr
1757,TuFr
1758,Tu
1759,TuFr
1760,We
1761,We
1762,TuFr
1763,MoTh
1764,TuFr
1766,TuFr
1767,TuFr
1768,MoTh
1771,MoFr
1772,TuFr
1773,TuFr
1774,TuFr
1775,TuTh
1776,TuFr
1779,MoTh
1780,Th
1781,MoFr
1782,WeFr
1783,TuFr
1784,TuFr
1785,TuFr
1786,Th
1787,Fr
1788,Fr
1789,MoTh
1790,TuTh
1791,TuTh
1793,MoTh
1795,TuTh
1796,TuFr
1797,TuTh
1798,TuTh
1800,TuTh
1801,TuFr
1802,Fr
1803,TuFr
1804,TuTh
1805,TuFr
1806,MoWeFr
1808,Mo
1809,MoTh
1810,Fr
1811,MoWeFr
1812,TuFr
1813,TuTh
1814,We
1815,MoTh
1816,Tu
1817,MoTh
1818,Tu
1819,TuFr
1821,Mo
1824,Mo
1825,WeFr
1826,TuFr
1827,TuFr
1828,TuTh
1829,WeFr
1830,MoFr
1831,MoTh
1832,TuFr
1833,TuFr
1834,TuFr
1835,TuFr
1836,MoTh
1837,TuFr
1839,MoTh
1840,MoTh
1841,MoFr
1842,Tu
1843,Tu
1845,Sa
1846,TuFr
1847,Sa
1848,Mo
1849,MoTh
1851,Th
1852,MoTh
1853,WeFr
1856,MoTh
1857,TuFr
1858,TuTh
1859,TuFr
1861,Mo
1862,We
1863,TuFr
1865,Th
1866,MoTh
1868,TuFr
1870,TuFr
1871,MoTuWeThFr
1872,WeFrSa
1874,Sa
1877,TuFr
1878,Tu
1879,Tu
1880,TuFr
1881,TuFr
1882,MoTh
1888,TuFr
1889,MoTh
1892,MoFr
1894,TuFr
1895,We
1896,Tu
1897,Fr
1898,We
1899,WeFr
1900,MoTh
1901,TuThFr
1902,TuFr
1903,TuFr
1904,We
1905,MoTh
1907,TuFr
1908,TuFr
1909,Mo
1910,TuFr
1911,MoTh
1912,TuFr
1913,MoTh
1914,WeFr
1915,TuFr
1916,Sa
1917,TuFr
1919,MoFr
1920,TuFr
1922,TuTh
1923,TuFr
1924,TuFr
1925,TuTh
1926,Fr
1927,MoTh
1928,WeFr
1929,We
1930,MoFr
1931,TuFr
1932,TuFr
1933,MoFr
1934,TuFr
1936,MoFr
1937,TuFr
1938,MoTh
1939,TuFr
1940,MoFr
1941,We
1942,MoFr
1943,MoTh
1946,TuFr
1947,TuFr
1948,Fr
1949,MoTh
1950,MoTh
1951,MoWe
1953,We
1954,TuFr
1955,Th
1956,MoSa
1957,Sa
1958,MoFr
1959,MoWeFr
1960,MoWe
1961,MoTh
1962,Mo
1963,TuFr
1965,MoWeFr
1966,TuFr
1969,Tu
1971,Tu
1972,TuFr
1973,MoTh
1974,TuFr
1975,TuFr
1976,Fr
1978,MoTu
1979,TuFr
1982,MoTh
1983,MoTh
1986,We
1987,TuTh
1988,TuFr
1989,TuFr
1990,Tu
1991,MoTh
1992,WeFr
1993,TuFr
1994,MoTh
1995,MoTh
1996,Fr
1997,MoTh
1998,Mo
1999,We
2000,Fr
2001,Fr
2002,TuFr
2004,TuFr
2005,MoTh
2006,TuFr
2007,TuTh
2010,MoTh
2011,Th
2013,MoTh
2014,Fr
2015,MoTh
2016,MoWeFr
2020,Fr
2021,TuFr
2025,MoTh
2028,WeFr
2030,TuFr
2031,Sa
2032,Th
2033,Mo
2035,MoTh
2036,MoWeFr
2037,WeFr
2038,MoTh
2039,MoTh
2043,Th
2044,Tu
2046,WeFr
2047,MoWe
2048,TuFr
2050,TuFr
2051,TuFr
2052,TuFr
2053,WeFr
2054,TuFr
2055,TuFr
2056,WeFr
2057,TuFr
2058,TuTh
2060,TuFr
2061,MoTh
2062,MoTh
2063,TuFr
2065,TuFr
2066,TuFr
2069,TuFr
2070,TuFr
2071,Tu
2073,MoTh
2075,TuFr
2077,TuFr
2078,MoTh
2079,Mo
2080,Mo
2081,TuFr
2082,Th
2083,Fr
2084,None
2086,TuFr
2088,TuFr
2089,TuFr
2091,Fr
2092,TuFr
2093,TuFr
2094,MoTh
2097,MoFr
2098,TuFr
2099,Fr
2100,MoTh
2101,TuFr
2102,TuTh
2104,MoFr
2105,Th
2106,WeFr
2107,TuFr
2110,TuFr
2111,MoTh
2113,TuFr
2114,MoTuFr
2115,TuFr
2116,WeFr
2117,MoTh
2119,Th
2120,TuFr
2121,TuFr
2123,Mo
2124,We
2125,We
2126,Fr
2127,WeFr
2130,TuTh
2131,Fr
2132,MoTh
2133,Tu
2134,MoTh
2135,Fr
2136,TuFr
2137,Fr
2138,TuFr
2140,TuFr
2142,TuFr
2143,MoTh
2146,MoWeFr
2147,TuFr
2149,TuFr
2150,WeFr
2151,WeSa
2152,We
2153,MoTh
2154,Tu
2156,Fr
2159,TuFr
2160,MoTh
2161,TuFr
2164,MoTh
2165,Th
2166,Fr
2173,WeFr
2175,We
2176,TuSa
2177,We
2178,MoTh
2181,TuFr
2183,MoTh
2186,Th
2187,TuTh
2188,Th
2189,WeFr
2190,TuFr
2191,MoTh
2192,MoWeFr
2193,MoFr
2194,MoTh
2196,TuFr
2197,TuFr
2198,We
2199,TuFr
2201,TuSa
2202,TuFr
2206,WeFr
2207,We
2209,TuFr
2210,TuFr
2211,TuFr
2213,TuFr
2214,MoTh
2215,Mo
2218,TuTh
2221,MoWe
2223,Mo
2224,MoTh
2226,TuFr
2231,WeSa
2234,TuFr
2237,FrSa
2238,WeFr
2239,TuFr
2241,TuFr
2242,TuFr
2244,MoFr
2245,TuFr
2246,Mo
2249,TuFr
2250,TuFr
2251,TuFr
2253,TuFr
2256,Fr
