Store Number,A B Region,Store Type,FY 15 OOS Rate
1132,2,Supercenter,1.50%
1133,2,Supercenter,4.80%
1134,2,Supercenter,0.80%
1135,2,Supercenter,3.70%
1136,5,Supercenter,10.00%
1137,5,Supercenter,2.80%
1139,3,Supercenter,2.10%
1140,3,Supercenter,3.70%
1141,3,Supercenter,4.00%
1143,2,Supercenter,2.60%
1144,2,Supercenter,3.20%
1146,2,Supercenter,2.00%
1147,5,Supercenter,0.40%
1148,5,Supercenter,1.20%
1149,7,Supercenter,8.10%
1150,5,Supercenter,1.60%
1151,4,Supercenter,2.80%
1152,4,Supercenter,1.00%
1153,2,Supercenter,2.50%
1154,5,Supercenter,2.20%
1155,2,Supercenter,2.80%
1156,2,Supercenter,3.40%
1157,3,Supercenter,1.50%
1158,2,Supercenter,6.20%
1160,3,Supercenter,2.30%
1162,3,Supercenter,3.20%
1163,5,Supercenter,7.60%
1164,2,Supercenter,2.20%
1165,3,Supercenter,4.50%
1167,3,Supercenter,3.60%
1168,2,Supercenter,3.60%
1169,5,Supercenter,4.90%
1170,3,Supercenter,5.20%
1171,2,Supercenter,3.20%
1172,2,Supercenter,1.60%
1173,2,Supercenter,4.20%
1174,2,Supercenter,4.00%
1177,4,Supercenter,2.80%
1178,5,Supercenter,3.80%
1179,2,Supercenter,3.30%
1180,3,Supercenter,0.90%
1181,2,Supercenter,7.60%
1182,2,Supercenter,3.10%
1183,2,Supercenter,1.20%
1184,2,Supercenter,5.00%
1185,5,Supercenter,4.70%
1186,5,Supercenter,4.60%
1187,4,Supercenter,3.10%
1188,4,Supercenter,4.50%
1191,2,Supercenter,4.40%
1192,2,Supercenter,5.30%
1193,5,Supercenter,1.00%
1194,2,Supercenter,3.50%
1195,2,Supercenter,0.90%
1196,5,Supercenter,7.40%
1197,2,Supercenter,4.20%
1198,5,Supercenter,4.60%
1199,6,Supercenter,3.50%
1200,6,Supercenter,5.70%
1201,2,Supercenter,3.20%
1202,3,Supercenter,0.70%
1203,2,Supercenter,4.20%
1204,5,Supercenter,2.60%
1205,2,Supercenter,1.40%
1206,5,Supercenter,5.40%
1207,2,Supercenter,2.50%
1209,2,Supercenter,3.00%
1210,3,Supercenter,3.40%
1211,3,Supercenter,2.40%
1212,2,Supercenter,4.30%
1213,2,Supercenter,2.50%
1214,4,Supercenter,3.90%
1215,2,Supercenter,4.00%
1216,5,Supercenter,1.60%
1217,2,Supercenter,2.50%
1218,7,Supercenter,1.60%
1219,2,Supercenter,5.10%
1220,2,Supercenter,2.80%
1221,4,Supercenter,3.80%
1222,2,Supercenter,2.30%
1223,2,Supercenter,3.40%
1224,2,Supercenter,1.30%
1225,2,Supercenter,1.60%
1226,2,Supercenter,6.00%
1227,2,Supercenter,4.00%
1228,3,Supercenter,3.00%
1229,2,Supercenter,3.70%
1230,7,Supercenter,1.40%
1231,6,Supercenter,8.20%
1232,5,Supercenter,3.40%
1233,3,Supercenter,5.30%
1235,5,Supercenter,4.00%
1236,2,Supercenter,1.90%
1237,2,Supercenter,1.40%
1238,2,Supercenter,4.10%
1239,3,Supercenter,2.80%
1240,7,Supercenter,7.30%
1241,4,Supercenter,6.10%
1242,2,Supercenter,3.50%
1243,1,Supercenter,2.50%
1244,2,Supercenter,3.20%
1245,2,Supercenter,4.80%
1247,3,Supercenter,5.10%
1248,2,Supercenter,9.00%
1249,5,Supercenter,2.80%
1252,6,Supercenter,0.80%
1253,5,Supercenter,1.90%
1254,5,Supercenter,1.70%
1255,2,Supercenter,1.80%
1256,3,Supercenter,8.50%
1261,2,Supercenter,3.70%
1263,3,Supercenter,0.90%
1264,3,Supercenter,5.70%
1265,4,Supercenter,7.20%
1266,5,Supercenter,4.70%
1267,3,Supercenter,5.40%
1268,2,Supercenter,5.00%
1269,3,Supercenter,4.60%
1270,2,Supercenter,2.10%
1271,2,Supercenter,4.60%
1273,6,Supercenter,3.70%
1274,3,Supercenter,2.90%
1275,3,Supercenter,2.50%
1276,3,Supercenter,2.10%
1277,3,Supercenter,1.50%
1279,5,Supercenter,3.90%
1280,6,Supercenter,0.90%
1281,2,Supercenter,4.40%
1282,4,Supercenter,4.00%
1283,2,Supercenter,3.50%
1284,2,Supercenter,5.50%
1285,4,Supercenter,3.40%
1286,2,Supercenter,3.60%
1287,2,Supercenter,1.60%
1288,2,Supercenter,3.30%
1289,3,Supercenter,2.40%
1290,2,Supercenter,4.50%
1292,1,Supercenter,1.40%
1293,2,Supercenter,2.00%
1294,3,Supercenter,5.10%
1295,5,Supercenter,9.90%
1296,5,Supercenter,4.50%
1297,2,Supercenter,3.20%
1298,2,Supercenter,2.20%
1299,7,Supercenter,2.20%
1300,2,Supercenter,3.30%
1301,1,Supercenter,1.80%
1302,1,Supercenter,1.90%
1303,5,Supercenter,2.50%
1304,3,Supercenter,1.70%
1305,3,Supercenter,3.40%
1306,5,Supercenter,4.70%
1307,3,Supercenter,5.50%
1308,6,Supercenter,6.30%
1309,1,Supercenter,1.90%
1310,3,Supercenter,1.80%
1311,2,Supercenter,2.50%
1312,2,Supercenter,2.70%
1313,5,Supercenter,3.20%
1314,2,Supercenter,6.20%
1316,3,Supercenter,1.50%
1317,2,Supercenter,3.60%
1318,2,Supercenter,4.10%
1319,2,Supercenter,2.60%
1320,2,Supercenter,3.70%
1321,2,Supercenter,1.90%
1322,2,Supercenter,2.60%
1324,7,Supercenter,3.60%
1326,4,Supercenter,3.90%
1327,3,Supercenter,3.60%
1328,7,Supercenter,1.30%
1329,3,Supercenter,1.50%
1330,3,Supercenter,5.20%
1331,3,Supercenter,2.30%
1332,4,Supercenter,3.30%
1333,3,Supercenter,8.70%
1335,1,Supercenter,3.50%
1337,2,Supercenter,3.10%
1339,2,Supercenter,3.60%
1340,2,Supercenter,5.80%
1341,3,Supercenter,2.40%
1342,5,Supercenter,4.10%
1344,1,Supercenter,0.90%
1345,1,Supercenter,1.40%
1346,2,Supercenter,1.80%
1347,5,Supercenter,3.80%
1348,2,Supercenter,2.40%
1350,1,Supercenter,2.50%
1351,3,Supercenter,2.70%
1352,2,Supercenter,3.90%
1353,5,Supercenter,2.70%
1354,2,Supercenter,1.80%
1355,2,Supercenter,2.90%
1356,3,Supercenter,3.00%
1357,5,Supercenter,1.90%
1358,2,Supercenter,2.80%
1359,2,Supercenter,1.10%
1360,3,Supercenter,3.00%
1361,4,Supercenter,2.20%
1362,2,Supercenter,1.90%
1363,2,Supercenter,3.80%
1364,7,Supercenter,2.60%
1367,2,Supercenter,6.30%
1369,7,Supercenter,1.90%
1370,7,Supercenter,2.00%
1371,3,Supercenter,2.60%
1372,2,Supercenter,2.00%
1373,2,Supercenter,4.90%
1375,2,Supercenter,1.90%
1376,2,Supercenter,6.10%
1377,3,Supercenter,3.10%
1378,3,Supercenter,2.20%
1379,2,Supercenter,2.20%
1381,7,Supercenter,0.70%
1382,2,Supercenter,6.10%
1383,2,Supercenter,8.20%
1384,6,Supercenter,8.50%
1385,2,Supercenter,4.20%
1386,3,Supercenter,2.20%
1387,2,Supercenter,4.80%
1388,3,Supercenter,2.50%
1389,4,Supercenter,2.30%
1390,2,Supercenter,2.00%
1391,2,Supercenter,5.30%
1392,2,Supercenter,4.60%
1393,4,Supercenter,1.80%
1394,3,Supercenter,6.00%
1396,3,Supercenter,2.40%
1397,5,Supercenter,3.90%
1398,2,Supercenter,8.70%
1399,1,Supercenter,3.10%
1400,2,Supercenter,3.10%
1401,3,Supercenter,4.10%
1403,2,Supercenter,5.00%
1404,3,Supercenter,5.90%
1405,5,Supercenter,3.20%
1406,1,Supercenter,3.10%
1407,3,Supercenter,2.80%
1408,2,Supercenter,5.80%
1409,5,Supercenter,5.90%
1410,3,Supercenter,5.00%
1411,7,Supercenter,3.60%
1412,6,Supercenter,2.10%
1413,3,Supercenter,3.60%
1414,5,Supercenter,3.40%
1415,4,Supercenter,2.10%
1416,3,Supercenter,4.80%
1417,7,Supercenter,3.30%
1418,3,Supercenter,3.60%
1419,3,Supercenter,2.80%
1420,3,Supercenter,3.60%
1421,3,Supercenter,3.70%
1422,3,Supercenter,5.60%
1423,3,Supercenter,3.20%
1424,1,Supercenter,5.00%
1425,3,Supercenter,7.40%
1426,3,Supercenter,4.10%
1427,3,Supercenter,3.20%
1428,3,Supercenter,6.10%
1429,3,Supercenter,2.80%
1430,3,Supercenter,2.70%
1431,4,Supercenter,1.80%
1432,3,Supercenter,3.50%
1433,3,Supercenter,2.40%
1434,6,Supercenter,4.90%
1435,4,Supercenter,3.00%
1436,2,Supercenter,7.80%
1437,5,Supercenter,1.90%
1438,6,Supercenter,2.10%
1439,6,Supercenter,1.30%
1440,6,Supercenter,1.70%
1441,3,Supercenter,3.60%
1442,7,Supercenter,2.20%
1443,3,Supercenter,2.80%
1444,2,Supercenter,4.40%
1445,3,Supercenter,2.60%
1447,3,Supercenter,3.60%
1448,3,Supercenter,5.10%
1449,3,Supercenter,3.30%
1450,3,Supercenter,2.70%
1451,3,Supercenter,1.60%
1453,3,Supercenter,4.80%
1454,3,Supercenter,3.00%
1455,5,Supercenter,4.10%
1457,6,Supercenter,1.20%
1458,2,Supercenter,4.00%
1459,3,Supercenter,3.30%
1460,4,Supercenter,3.90%
1461,6,Supercenter,1.40%
1462,2,Supercenter,3.70%
1463,3,Supercenter,5.60%
1464,2,Supercenter,3.70%
1465,1,Supercenter,1.80%
1466,2,Supercenter,2.40%
1468,2,Supercenter,4.10%
1469,2,Supercenter,1.30%
1470,4,Supercenter,1.80%
1472,4,Supercenter,4.20%
1473,4,Supercenter,2.20%
1474,7,Supercenter,2.70%
1475,4,Supercenter,1.90%
1476,3,Supercenter,4.50%
1477,3,Supercenter,2.70%
1479,3,Supercenter,2.60%
1480,3,Supercenter,5.50%
1481,2,Supercenter,5.60%
1483,4,Supercenter,0.60%
1486,1,Supercenter,2.30%
1487,3,Supercenter,4.10%
1488,2,Supercenter,4.60%
1490,3,Supercenter,4.10%
1491,4,Supercenter,1.30%
1492,6,Supercenter,7.20%
1493,2,Supercenter,3.60%
1494,5,Supercenter,5.70%
1495,3,Supercenter,3.30%
1496,4,Supercenter,1.40%
1498,2,Supercenter,3.50%
1499,3,Supercenter,2.90%
1502,2,Supercenter,2.10%
1503,3,Supercenter,3.30%
1504,3,Supercenter,2.30%
1505,3,Supercenter,4.90%
1506,4,Supercenter,1.80%
1507,4,Supercenter,6.60%
1509,4,Supercenter,1.30%
1510,3,Supercenter,3.00%
1512,7,Supercenter,1.90%
1513,2,Supercenter,3.90%
1514,4,Supercenter,2.80%
1515,3,Supercenter,3.00%
1518,3,Supercenter,2.80%
1519,3,Supercenter,3.20%
1520,4,Supercenter,2.80%
1521,3,Supercenter,2.00%
1522,3,Supercenter,2.30%
1523,1,Supercenter,1.80%
1524,1,Supercenter,3.90%
1525,1,Supercenter,3.20%
1526,4,Supercenter,2.10%
1527,2,Supercenter,3.00%
1528,4,Supercenter,1.80%
1530,2,Supercenter,5.10%
1532,7,Supercenter,2.30%
1533,7,Supercenter,3.40%
1534,4,Supercenter,2.50%
1535,4,Supercenter,2.30%
1538,4,Supercenter,1.90%
1539,3,Supercenter,5.90%
1540,3,Supercenter,2.30%
1541,2,Supercenter,3.80%
1542,3,Supercenter,3.30%
1543,4,Supercenter,3.00%
1544,3,Supercenter,3.90%
1545,4,Supercenter,2.20%
1547,3,Supercenter,5.00%
1548,3,Supercenter,2.60%
1549,7,Supercenter,2.80%
1551,3,Supercenter,3.00%
1552,2,Supercenter,2.80%
1553,3,Supercenter,7.70%
1554,7,Supercenter,4.10%
1555,7,Supercenter,4.30%
1556,3,Supercenter,2.40%
1557,3,Supercenter,4.00%
1558,2,Supercenter,7.30%
1560,7,Supercenter,2.80%
1561,2,Supercenter,5.60%
1563,7,Supercenter,5.20%
1564,3,Supercenter,6.40%
1565,4,Supercenter,4.90%
1567,4,Supercenter,2.20%
1569,3,Supercenter,2.90%
1570,3,Supercenter,3.90%
1571,3,Supercenter,1.20%
1572,6,Supercenter,1.50%
1573,6,Supercenter,2.50%
1574,7,Supercenter,6.50%
1577,4,Supercenter,3.60%
1578,2,Supercenter,2.70%
1579,2,Supercenter,3.90%
1580,3,Supercenter,2.90%
1584,7,Supercenter,2.90%
1585,4,Supercenter,1.80%
1586,2,Supercenter,4.60%
1588,7,Supercenter,4.60%
1589,2,Supercenter,8.80%
1590,2,Supercenter,10.70%
1592,3,Supercenter,2.90%
1593,3,Supercenter,1.80%
1594,3,Supercenter,2.10%
1595,3,Supercenter,2.80%
1597,5,Supercenter,3.00%
1598,7,Supercenter,4.30%
1599,4,Supercenter,5.50%
1601,3,Supercenter,2.60%
1602,3,Supercenter,3.00%
1603,2,Supercenter,2.90%
1604,4,Supercenter,1.30%
1605,2,Supercenter,2.00%
1606,2,Supercenter,2.30%
1609,4,Supercenter,2.80%
1611,3,Supercenter,7.10%
1612,7,Supercenter,4.10%
1613,2,Supercenter,3.10%
1614,2,Supercenter,3.40%
1618,3,Supercenter,1.80%
1619,1,Supercenter,3.80%
1620,2,Supercenter,2.00%
1621,4,Supercenter,3.20%
1622,3,Supercenter,5.40%
1624,7,Supercenter,5.20%
1625,4,Supercenter,2.20%
1626,5,Supercenter,2.00%
1627,4,Supercenter,2.00%
1628,3,Supercenter,3.80%
1630,7,Supercenter,4.70%
1631,1,Supercenter,3.30%
1632,4,Supercenter,4.00%
1633,4,Supercenter,5.40%
1634,4,Supercenter,2.10%
1635,3,Supercenter,2.70%
1636,4,Supercenter,2.20%
1637,4,Supercenter,2.80%
1638,2,Supercenter,1.10%
1639,3,Supercenter,1.80%
1641,2,Supercenter,2.50%
1642,3,Supercenter,2.40%
1643,3,Supercenter,3.40%
1645,7,Supercenter,8.50%
1646,7,Supercenter,1.70%
1647,3,Supercenter,1.30%
1648,7,Supercenter,1.70%
1649,4,Supercenter,2.20%
1650,3,Supercenter,2.40%
1651,7,Supercenter,4.10%
1652,1,Supercenter,2.30%
1653,3,Supercenter,4.70%
1654,4,Supercenter,3.60%
1655,3,Supercenter,3.00%
1657,4,Supercenter,2.50%
1658,2,Supercenter,3.10%
1659,6,Supercenter,14.00%
1660,7,Supercenter,5.20%
1661,2,Supercenter,4.00%
1662,2,Supercenter,3.60%
1663,2,Supercenter,2.30%
1664,2,Supercenter,3.60%
1665,3,Supercenter,4.90%
1666,2,Supercenter,4.80%
1667,3,Supercenter,2.00%
1668,3,Supercenter,4.10%
1669,3,Supercenter,1.70%
1671,4,Supercenter,2.20%
1673,1,Supercenter,2.60%
1675,3,Supercenter,3.50%
1676,3,Supercenter,2.20%
1677,1,Supercenter,4.50%
1678,3,Supercenter,2.30%
1679,3,Supercenter,1.30%
1680,2,Supercenter,8.40%
1681,3,Supercenter,5.20%
1682,1,Supercenter,2.70%
1683,4,Supercenter,3.00%
1685,4,Supercenter,1.80%
1686,6,Supercenter,2.00%
1687,1,Supercenter,2.50%
1688,1,Supercenter,2.10%
1689,6,Supercenter,6.00%
1690,3,Supercenter,2.20%
1692,7,Supercenter,8.40%
1694,2,Supercenter,4.40%
1695,4,Supercenter,4.10%
1696,4,Supercenter,6.70%
1698,1,Supercenter,4.30%
1699,6,Supercenter,2.50%
1702,2,Supercenter,3.00%
1703,3,Supercenter,2.90%
1704,7,Supercenter,5.00%
1705,1,Supercenter,2.90%
1708,6,Supercenter,2.00%
1709,3,Supercenter,3.10%
1710,2,Supercenter,8.50%
1711,2,Supercenter,4.20%
1714,3,Supercenter,3.80%
1718,3,Supercenter,3.30%
1719,3,Supercenter,2.50%
1720,2,Supercenter,3.20%
1721,4,Supercenter,3.30%
1722,4,Supercenter,2.00%
1723,4,Supercenter,2.60%
1724,3,Supercenter,4.20%
1726,1,Supercenter,3.20%
1727,3,Supercenter,2.50%
1728,3,Supercenter,4.60%
1729,3,Supercenter,5.10%
1730,1,Supercenter,3.30%
1731,1,Supercenter,4.50%
1732,4,Supercenter,4.70%
1733,3,Supercenter,3.30%
1734,3,Supercenter,2.00%
1735,3,Supercenter,7.40%
1737,3,Supercenter,5.20%
1738,4,Supercenter,1.60%
1740,3,Supercenter,2.00%
1745,3,Supercenter,3.80%
1746,7,Supercenter,2.00%
1748,2,Supercenter,2.20%
1749,1,Supercenter,4.00%
1750,3,Supercenter,2.60%
1752,3,Supercenter,3.80%
1753,1,Supercenter,2.40%
1754,3,Supercenter,3.00%
1757,4,Supercenter,2.90%
1758,3,Supercenter,2.20%
1759,1,Supercenter,1.60%
1760,7,Supercenter,2.70%
1761,3,Supercenter,4.00%
1763,1,Supercenter,2.40%
1764,4,Supercenter,2.70%
1766,2,Supercenter,3.10%
1767,2,Supercenter,4.70%
1768,6,Supercenter,2.80%
1771,3,Supercenter,4.70%
1772,6,Supercenter,1.90%
1773,1,Supercenter,2.80%
1774,2,Supercenter,1.80%
1775,6,Supercenter,1.70%
1776,3,Supercenter,3.90%
1780,1,Supercenter,4.90%
1781,1,Supercenter,4.50%
1782,3,Supercenter,3.30%
1783,3,Supercenter,3.20%
1784,6,Supercenter,2.80%
1787,4,Supercenter,1.30%
1788,1,Supercenter,2.10%
1790,3,Supercenter,8.50%
1791,3,Supercenter,3.50%
1793,6,Supercenter,3.20%
1796,1,Supercenter,1.10%
1798,3,Supercenter,4.10%
1800,5,Supercenter,2.90%
1801,5,Supercenter,2.40%
1802,4,Supercenter,6.00%
1803,5,Supercenter,2.10%
1804,3,Supercenter,4.10%
1805,7,Supercenter,4.30%
1806,1,Supercenter,3.30%
1809,3,Supercenter,4.40%
1810,1,Supercenter,7.80%
1811,1,Supercenter,3.80%
1812,3,Supercenter,4.20%
1813,1,Supercenter,3.40%
1814,3,Supercenter,4.40%
1817,6,Supercenter,2.80%
1819,3,Supercenter,1.30%
1825,1,Supercenter,1.80%
1827,6,Supercenter,4.10%
1828,3,Supercenter,1.80%
1829,2,Supercenter,4.80%
1830,1,Supercenter,2.20%
1832,7,Supercenter,3.50%
1833,1,Supercenter,4.20%
1834,6,Supercenter,4.60%
1835,1,Supercenter,3.80%
1836,3,Supercenter,3.50%
1837,5,Supercenter,4.10%
1839,3,Supercenter,8.50%
1840,7,Supercenter,6.70%
1841,1,Supercenter,4.70%
1842,2,Supercenter,3.80%
1845,2,Supercenter,6.10%
1846,7,Supercenter,5.40%
1847,2,Supercenter,5.10%
1849,2,Supercenter,7.70%
1851,2,Supercenter,8.50%
1852,1,Supercenter,2.40%
1853,7,Supercenter,2.80%
1856,1,Supercenter,3.50%
1858,4,Supercenter,3.10%
1859,7,Supercenter,3.70%
1861,4,Supercenter,3.90%
1863,3,Supercenter,3.90%
1865,4,Supercenter,6.20%
1866,1,Supercenter,1.60%
1868,1,Supercenter,2.30%
1870,6,Supercenter,8.00%
1871,1,Supercenter,3.60%
1872,6,Supercenter,2.30%
1874,2,Supercenter,4.30%
1880,6,Supercenter,1.10%
1881,7,Supercenter,4.90%
1882,7,Supercenter,8.40%
1888,6,Supercenter,2.90%
1889,6,Supercenter,3.80%
1892,3,Supercenter,5.10%
1894,3,Supercenter,7.70%
1896,6,Supercenter,6.90%
1897,3,Supercenter,5.40%
1898,3,Supercenter,3.50%
1899,7,Supercenter,6.20%
1900,6,Supercenter,4.60%
1901,6,Supercenter,1.60%
1902,6,Supercenter,3.60%
1903,7,Supercenter,4.80%
1905,6,Supercenter,2.20%
1907,1,Supercenter,3.50%
1908,3,Supercenter,3.20%
1909,1,Supercenter,5.70%
1910,7,Supercenter,3.10%
1911,3,Supercenter,7.50%
1912,7,Supercenter,5.70%
1913,3,Supercenter,5.30%
1914,7,Supercenter,6.40%
1915,7,Supercenter,6.20%
1916,2,Supercenter,10.50%
1923,3,Supercenter,5.40%
1924,1,Supercenter,4.40%
1925,6,Supercenter,1.50%
1926,1,Supercenter,2.60%
1927,3,Supercenter,4.60%
1928,3,Supercenter,3.30%
1929,4,Supercenter,5.70%
1931,3,Supercenter,1.70%
1932,1,Supercenter,4.00%
1934,1,Supercenter,6.30%
1936,3,Supercenter,5.90%
1937,3,Supercenter,5.30%
1938,3,Supercenter,6.70%
1939,1,Supercenter,1.50%
1940,1,Supercenter,5.20%
1942,3,Supercenter,2.30%
1943,4,Supercenter,4.30%
1946,1,Supercenter,7.30%
1947,6,Supercenter,3.00%
1948,3,Supercenter,4.70%
1949,1,Supercenter,4.30%
1951,6,Supercenter,5.00%
1953,2,Supercenter,3.70%
1954,1,Supercenter,1.70%
1955,3,Supercenter,3.90%
1956,6,Supercenter,3.60%
1957,2,Supercenter,7.40%
1958,5,Supercenter,3.00%
1959,1,Supercenter,2.40%
1960,2,Supercenter,7.10%
1961,3,Supercenter,3.20%
1962,3,Supercenter,3.80%
1965,4,Supercenter,3.20%
1966,1,Supercenter,2.20%
1969,1,Supercenter,3.50%
1971,4,Supercenter,4.70%
1973,1,Supercenter,2.30%
1975,1,Supercenter,1.80%
1976,1,Supercenter,3.90%
1978,3,Supercenter,3.60%
1982,3,Supercenter,4.10%
1986,3,Supercenter,1.40%
1987,3,Supercenter,3.90%
1988,7,Supercenter,5.50%
1989,7,Supercenter,4.80%
1991,3,Supercenter,6.00%
1993,1,Supercenter,3.20%
1994,1,Supercenter,2.80%
1995,6,Supercenter,3.70%
1996,2,Supercenter,3.60%
1998,3,SUPERCENTER,4.40%
1999,4,Supercenter,8.10%
2000,2,Supercenter,2.30%
2002,7,Supercenter,5.30%
2004,4,Supercenter,2.40%
2005,2,Supercenter,3.30%
2006,6,Supercenter,1.30%
2007,6,Supercenter,2.60%
2010,3,Supercenter,3.70%
2013,1,Supercenter,2.70%
2014,3,Supercenter,3.50%
2015,1,Supercenter,4.80%
2016,6,Supercenter,1.40%
2021,1,Supercenter,3.20%
2025,7,Supercenter,4.80%
2032,7,Supercenter,2.80%
2033,4,Supercenter,7.80%
2035,3,Supercenter,3.10%
2036,3,Supercenter,1.90%
2038,1,Supercenter,2.20%
2046,1,Supercenter,2.30%
2047,1,Supercenter,1.70%
2048,7,Supercenter,4.90%
2050,7,Supercenter,3.10%
2051,7,Supercenter,1.80%
2053,7,Supercenter,3.60%
2055,1,Supercenter,4.10%
2056,1,Supercenter,5.30%
2058,2,Supercenter,3.90%
2061,3,Supercenter,4.50%
2062,3,Supercenter,4.20%
2063,3,Supercenter,8.40%
2065,2,Supercenter,2.60%
2066,5,Supercenter,4.50%
2069,6,Supercenter,2.20%
2070,6,Supercenter,14.70%
2071,6,Supercenter,6.40%
2073,3,Supercenter,6.80%
2075,6,Supercenter,3.00%
2078,3,Supercenter,4.50%
2079,3,Supercenter,4.00%
2080,3,Supercenter,4.10%
2081,2,Supercenter,1.90%
2082,7,Supercenter,8.70%
2083,3,Supercenter,3.60%
2084,6,Supercenter,3.10%
2086,5,Supercenter,1.90%
2088,1,Supercenter,2.70%
2089,1,Supercenter,1.50%
2091,2,Supercenter,11.30%
2093,1,Supercenter,3.90%
2094,7,Supercenter,6.90%
2097,1,Supercenter,4.90%
2098,3,Supercenter,1.20%
2100,3,Supercenter,2.40%
2101,6,Supercenter,2.80%
2102,3,Supercenter,1.50%
2104,1,Supercenter,7.70%
2106,7,Supercenter,3.00%
2111,2,Supercenter,4.20%
2113,7,Supercenter,3.10%
2114,2,Supercenter,3.50%
2115,3,Supercenter,5.50%
2116,1,Supercenter,4.40%
2119,7,SUPERCENTER,
2120,1,Supercenter,1.30%
2121,6,Supercenter,1.70%
2123,5,SUPERCENTER,
2124,3,Supercenter,3.60%
2125,6,Supercenter,5.20%
2127,3,Supercenter,2.30%
2130,1,Supercenter,3.10%
2131,4,Supercenter,4.00%
2132,5,Supercenter,6.00%
2133,5,Supercenter,1.70%
2134,2,Supercenter,2.20%
2135,1,Supercenter,2.30%
2136,1,Supercenter,0.80%
2137,2,Supercenter,4.00%
2142,1,Supercenter,4.10%
2143,1,Supercenter,1.10%
2146,1,Supercenter,4.00%
2147,6,Supercenter,3.00%
2149,3,Supercenter,8.90%
2151,2,Supercenter,7.10%
2152,1,Supercenter,3.40%
2153,1,Supercenter,1.90%
2154,2,Supercenter,6.30%
2159,1,Supercenter,3.90%
2160,1,Supercenter,2.40%
2164,1,Supercenter,2.00%
2166,1,Supercenter,5.80%
2175,4,Supercenter,1.80%
2178,1,Supercenter,4.00%
2181,7,SUPERCENTER,3.00%
2183,1,Supercenter,1.90%
2187,6,Supercenter,3.10%
2188,6,Supercenter,5.10%
2189,7,Supercenter,5.40%
2191,3,Supercenter,3.80%
2192,3,Supercenter,3.30%
2193,3,Supercenter,3.20%
2196,6,Supercenter,3.20%
2197,3,Supercenter,4.80%
2198,4,Supercenter,6.70%
2199,3,Supercenter,5.60%
2201,5,Supercenter,2.60%
2202,1,Supercenter,1.00%
2207,6,Supercenter,2.80%
2209,3,Supercenter,5.50%
2210,1,Supercenter,3.40%
2211,3,Supercenter,7.80%
2213,4,Supercenter,2.50%
2214,2,Supercenter,4.80%
2218,7,Supercenter,6.50%
2221,4,Supercenter,2.10%
2223,6,Supercenter,5.90%
2231,3,Supercenter,2.10%
2234,1,Supercenter,3.90%
2237,2,Supercenter,3.60%
2238,3,Supercenter,2.90%
2239,5,Supercenter,4.30%
2241,6,Supercenter,2.40%
2242,7,Supercenter,1.70%
2243,6,Supercenter,1.80%
2244,3,Supercenter,4.50%
2245,7,Supercenter,8.60%
2247,2,Supercenter,2.70%
2249,6,Supercenter,1.40%
2250,3,Supercenter,2.60%
2251,7,Supercenter,9.40%
2253,7,Supercenter,1.80%
2256,2,Supercenter,3.30%
2257,5,Supercenter,4.00%
2259,6,Supercenter,2.70%
2262,1,Supercenter,5.00%
2265,2,Supercenter,3.50%
2266,3,Supercenter,8.70%
2269,6,Supercenter,2.30%
2270,6,Supercenter,2.20%
2271,3,Supercenter,2.70%
2273,3,Supercenter,3.00%
2275,3,Supercenter,1.90%
2276,3,Supercenter,2.60%
2277,7,Supercenter,13.60%
2285,1,Supercenter,2.70%
2292,7,Supercenter,5.70%
2293,6,Supercenter,1.20%
2295,1,Supercenter,3.80%
2306,2,Supercenter,5.30%
2307,6,Supercenter,1.70%
2309,3,Supercenter,3.80%
2310,2,Supercenter,2.70%
2311,3,Supercenter,2.00%
2312,1,Supercenter,2.30%
2313,3,Supercenter,4.20%
2316,3,Supercenter,7.60%
2320,6,Supercenter,4.10%
2322,2,Supercenter,12.40%
2323,3,Supercenter,5.50%
2325,6,Supercenter,5.30%
2330,1,Supercenter,2.10%
2337,1,Supercenter,3.30%
2338,3,Supercenter,3.60%
2339,3,Supercenter,2.40%
2348,2,Supercenter,4.70%
2350,3,Supercenter,1.90%
2351,1,Supercenter,6.80%
2352,4,Supercenter,6.70%
2354,3,Supercenter,5.70%
2355,1,Supercenter,4.60%
2358,3,Supercenter,1.80%
2359,3,Supercenter,2.40%
2360,2,Supercenter,5.80%
2370,1,Supercenter,6.40%
2385,6,Supercenter,3.20%
2386,1,Supercenter,3.80%
2387,2,Supercenter,7.60%
2388,3,Supercenter,4.50%
2400,3,Supercenter,3.50%
2402,7,Supercenter,2.10%
2403,6,Supercenter,3.00%
2404,5,Supercenter,3.30%
2405,1,Supercenter,2.00%
2417,3,Supercenter,3.00%
2421,3,Supercenter,2.00%
2424,1,Supercenter,3.20%
2426,3,Supercenter,4.00%
2427,5,Supercenter,4.10%
2428,4,Supercenter,5.20%
2429,3,Supercenter,2.70%
2432,4,Supercenter,2.40%
2434,3,Supercenter,3.90%
2437,1,Supercenter,2.40%
2438,1,Supercenter,4.40%
2439,5,SUPERCENTER,3.40%
2440,2,Supercenter,3.50%
2441,3,Supercenter,3.20%
2444,1,Supercenter,3.30%
2447,3,Supercenter,3.80%
2448,4,Supercenter,2.60%
2453,7,Supercenter,1.50%
2455,6,Supercenter,3.10%
2457,7,Supercenter,5.80%
2458,7,Supercenter,5.80%
2459,2,Supercenter,2.00%
