Store Number,A B Region,Store Type,FY 15 OOS Rate
304,2,Supercenter,1.80%
305,2,Supercenter,2.60%
306,2,Supercenter,3.90%
307,5,Supercenter,3.50%
308,2,Supercenter,3.00%
309,5,Supercenter,4.50%
310,5,Supercenter,2.60%
312,5,Supercenter,2.70%
313,4,Supercenter,2.30%
314,2,Supercenter,1.70%
315,2,SUPERCENTER,4.80%
316,2,Supercenter,4.30%
318,5,Supercenter,1.50%
319,4,Supercenter,6.80%
321,5,Supercenter,1.40%
322,5,Supercenter,4.40%
324,5,Supercenter,2.50%
325,4,Supercenter,3.10%
328,3,Supercenter,2.90%
329,2,Supercenter,5.80%
330,5,Supercenter,3.90%
331,5,Supercenter,3.10%
332,2,Supercenter,3.60%
334,3,Supercenter,1.20%
335,2,Supercenter,2.90%
337,4,Supercenter,3.60%
338,4,Supercenter,3.80%
340,5,Supercenter,2.70%
341,4,Supercenter,3.30%
342,4,Supercenter,2.00%
343,3,Supercenter,1.50%
344,5,Supercenter,3.50%
345,5,Supercenter,5.60%
346,4,Supercenter,8.40%
347,2,Supercenter,2.80%
350,4,Supercenter,1.90%
354,4,Supercenter,1.20%
355,2,Supercenter,2.90%
356,2,Supercenter,3.10%
357,4,Supercenter,2.90%
359,5,Supercenter,1.00%
360,5,Supercenter,2.40%
361,3,Supercenter,3.10%
362,2,Supercenter,4.80%
363,4,Supercenter,4.40%
364,5,Supercenter,2.30%
365,2,Supercenter,4.00%
366,2,Supercenter,1.90%
368,4,Supercenter,1.70%
369,4,Supercenter,9.20%
370,4,Supercenter,9.20%
371,5,Supercenter,2.30%
372,4,Supercenter,4.70%
374,5,Supercenter,4.30%
376,5,Supercenter,5.90%
379,4,Supercenter,2.60%
381,5,Supercenter,1.90%
382,4,Supercenter,6.30%
383,5,Supercenter,2.60%
384,5,Supercenter,4.20%
386,5,Supercenter,4.30%
387,5,Supercenter,3.50%
388,5,Supercenter,4.30%
389,5,Supercenter,2.50%
390,2,Supercenter,4.70%
391,2,Supercenter,5.30%
392,5,Supercenter,6.40%
393,2,Supercenter,1.70%
394,2,Supercenter,18.30%
395,5,Supercenter,2.00%
396,2,Supercenter,5.40%
397,5,Supercenter,2.10%
398,5,Supercenter,6.00%
399,5,Supercenter,4.70%
400,5,Supercenter,13.10%
401,5,Supercenter,4.00%
402,5,Supercenter,4.70%
403,2,Supercenter,4.20%
404,5,Supercenter,1.80%
405,5,Supercenter,2.60%
406,2,Supercenter,1.90%
407,5,Supercenter,2.60%
408,5,Supercenter,3.90%
409,2,Supercenter,5.10%
410,3,Supercenter,3.60%
412,5,Supercenter,5.30%
413,5,Supercenter,2.60%
414,5,Supercenter,2.10%
415,5,Supercenter,2.70%
416,2,SUPERCENTER,
417,5,Supercenter,2.50%
418,4,Supercenter,1.30%
419,4,Supercenter,4.10%
420,5,Supercenter,1.70%
421,5,Supercenter,2.00%
423,2,Supercenter,3.90%
424,2,Supercenter,3.10%
425,2,Supercenter,6.00%
426,5,Supercenter,3.30%
427,5,Supercenter,2.00%
428,5,Supercenter,7.00%
429,5,Supercenter,1.60%
431,3,Supercenter,2.60%
432,2,Supercenter,3.80%
433,2,Supercenter,6.60%
434,2,Supercenter,3.90%
435,3,Supercenter,1.70%
436,3,Supercenter,2.00%
437,5,Supercenter,3.50%
440,5,Supercenter,5.90%
442,5,Supercenter,7.00%
443,5,Supercenter,3.30%
444,4,Supercenter,1.90%
447,5,Supercenter,2.20%
448,5,Supercenter,4.40%
449,5,Supercenter,5.20%
450,5,Supercenter,4.60%
451,4,Supercenter,3.30%
452,5,Supercenter,1.40%
456,5,Supercenter,2.20%
458,5,Supercenter,3.90%
459,2,Supercenter,4.60%
461,5,Supercenter,4.10%
462,5,Supercenter,2.90%
463,5,Supercenter,3.90%
464,5,Supercenter,2.30%
465,5,Supercenter,2.40%
466,2,Supercenter,2.10%
467,5,Supercenter,1.80%
468,5,Supercenter,0.80%
469,5,Supercenter,3.20%
470,5,Supercenter,3.50%
471,5,Supercenter,2.40%
472,5,Supercenter,3.50%
475,5,Supercenter,2.60%
476,5,Supercenter,3.10%
477,2,Supercenter,5.60%
479,5,Supercenter,7.70%
481,3,Supercenter,2.20%
483,2,Supercenter,1.20%
484,4,Supercenter,3.90%
485,5,Supercenter,4.30%
486,4,Supercenter,4.30%
488,2,Supercenter,8.50%
489,5,Supercenter,5.00%
490,5,Supercenter,2.40%
491,3,Supercenter,2.90%
492,3,Supercenter,3.10%
493,3,Supercenter,4.50%
494,2,Supercenter,5.30%
495,2,Supercenter,2.60%
498,5,Supercenter,5.00%
499,5,Supercenter,2.70%
500,5,Supercenter,2.00%
501,2,Supercenter,2.70%
502,5,Supercenter,4.40%
504,5,Supercenter,2.80%
505,5,Supercenter,3.60%
506,3,Supercenter,1.20%
507,3,Supercenter,1.40%
508,5,Supercenter,2.50%
510,2,Supercenter,3.40%
511,2,Supercenter,2.60%
512,5,Supercenter,1.90%
513,5,Supercenter,4.40%
514,2,Supercenter,1.50%
515,2,Supercenter,2.40%
516,5,Supercenter,0.70%
517,5,Supercenter,4.40%
518,2,Supercenter,7.00%
520,2,Supercenter,4.50%
521,5,Supercenter,2.10%
522,5,Supercenter,3.60%
523,5,Supercenter,3.30%
524,5,Supercenter,3.80%
526,3,Supercenter,4.90%
527,5,Supercenter,5.90%
528,2,Supercenter,1.50%
529,5,Supercenter,1.70%
530,5,Supercenter,2.10%
531,5,Supercenter,4.00%
532,5,Supercenter,3.80%
533,5,Supercenter,5.90%
534,5,Supercenter,8.60%
535,5,Supercenter,3.00%
536,5,Supercenter,2.10%
537,5,Supercenter,2.70%
538,2,Supercenter,4.40%
539,5,Supercenter,1.30%
540,5,Supercenter,3.20%
541,5,Supercenter,4.30%
542,5,Supercenter,3.10%
543,5,Supercenter,5.00%
544,5,Supercenter,2.70%
546,5,Supercenter,5.00%
547,2,Supercenter,4.80%
548,2,Supercenter,4.50%
549,5,Supercenter,4.30%
551,2,Supercenter,3.90%
553,5,Supercenter,2.30%
555,2,Supercenter,11.90%
556,2,Supercenter,2.30%
557,4,Supercenter,2.50%
558,4,Supercenter,5.70%
559,4,Supercenter,2.50%
560,4,Supercenter,4.90%
561,5,Supercenter,4.20%
562,2,Supercenter,4.10%
563,2,Supercenter,3.00%
564,5,Supercenter,2.20%
565,5,Supercenter,2.50%
566,3,Supercenter,1.60%
568,2,Supercenter,5.20%
571,3,Supercenter,3.70%
572,5,Supercenter,7.60%
573,4,Supercenter,4.10%
574,2,Supercenter,2.60%
575,2,Supercenter,6.20%
576,5,Supercenter,2.90%
577,4,Supercenter,3.10%
578,2,Supercenter,3.30%
579,2,Supercenter,3.40%
580,2,Supercenter,6.60%
581,4,Supercenter,2.50%
582,2,Supercenter,7.00%
583,2,Supercenter,3.00%
585,2,Supercenter,2.90%
586,2,Supercenter,3.10%
587,2,Supercenter,2.40%
588,2,Supercenter,3.60%
589,3,Supercenter,3.40%
590,5,Supercenter,5.10%
591,3,Supercenter,1.90%
592,4,Supercenter,3.70%
593,2,Supercenter,2.30%
594,2,Supercenter,4.80%
595,5,Supercenter,1.10%
597,5,Supercenter,5.00%
598,4,Supercenter,1.10%
599,2,Supercenter,6.70%
600,5,Supercenter,1.70%
601,5,Supercenter,3.60%
602,5,Supercenter,4.00%
603,3,Supercenter,4.70%
604,2,Supercenter,2.10%
605,2,Supercenter,2.50%
608,5,Supercenter,1.90%
609,4,Supercenter,4.50%
610,5,Supercenter,1.20%
611,5,Supercenter,6.00%
612,3,Supercenter,1.50%
613,2,Supercenter,3.60%
614,2,Supercenter,6.20%
615,2,Supercenter,3.50%
616,2,Supercenter,4.20%
618,2,Supercenter,2.50%
619,2,Supercenter,3.30%
620,2,Supercenter,1.90%
621,2,Supercenter,7.50%
622,5,Supercenter,4.00%
623,2,Supercenter,2.90%
624,2,Supercenter,1.30%
625,2,Supercenter,3.80%
627,2,Supercenter,4.50%
628,2,Supercenter,2.30%
629,2,Supercenter,2.30%
630,2,Supercenter,3.30%
631,2,Supercenter,3.30%
632,2,Supercenter,10.10%
633,3,Supercenter,2.70%
634,2,Supercenter,3.90%
635,2,Supercenter,2.80%
636,3,Supercenter,4.40%
637,4,Supercenter,3.20%
638,2,Supercenter,2.50%
639,2,Supercenter,5.90%
640,2,Supercenter,4.40%
641,2,Supercenter,2.30%
642,2,Supercenter,4.20%
643,2,Supercenter,3.20%
644,2,Supercenter,3.70%
645,4,Supercenter,4.70%
646,4,Supercenter,3.40%
647,4,Supercenter,3.50%
648,4,Supercenter,1.10%
649,2,Supercenter,1.80%
651,5,Supercenter,4.30%
652,4,Supercenter,4.30%
653,3,Supercenter,3.50%
655,3,Supercenter,3.60%
656,2,Supercenter,3.30%
657,2,Supercenter,1.40%
658,2,Supercenter,2.60%
659,2,Supercenter,3.00%
660,2,Supercenter,5.30%
661,2,Supercenter,3.10%
662,2,Supercenter,4.40%
663,2,Supercenter,2.50%
664,4,Supercenter,2.70%
666,2,Supercenter,3.70%
667,2,Supercenter,2.40%
668,2,Supercenter,3.10%
669,2,Supercenter,3.50%
670,2,Supercenter,2.00%
671,2,Supercenter,5.00%
672,2,Supercenter,2.90%
673,2,Supercenter,3.20%
674,2,Supercenter,3.90%
675,2,Supercenter,1.60%
676,2,Supercenter,2.50%
677,2,Supercenter,3.50%
678,2,SUPERCENTER,5.50%
680,2,Supercenter,3.30%
681,2,Supercenter,3.90%
682,2,Supercenter,3.90%
683,2,Supercenter,1.80%
684,2,Supercenter,2.40%
685,2,Supercenter,4.20%
686,2,Supercenter,3.10%
687,2,Supercenter,1.60%
688,2,Supercenter,5.60%
689,3,Supercenter,2.40%
690,2,Supercenter,2.50%
691,2,Supercenter,1.80%
692,3,Supercenter,2.80%
694,3,Supercenter,2.50%
697,2,Supercenter,4.60%
698,2,Supercenter,1.60%
699,2,Supercenter,5.40%
700,2,Supercenter,1.70%
701,3,Supercenter,4.20%
702,3,Supercenter,2.30%
703,5,Supercenter,3.80%
705,2,Supercenter,1.10%
706,2,Supercenter,4.00%
707,2,Supercenter,8.80%
708,2,Supercenter,5.90%
709,3,Supercenter,5.80%
710,2,Supercenter,2.90%
712,2,Supercenter,1.50%
714,5,Supercenter,2.80%
715,2,Supercenter,3.70%
716,2,Supercenter,3.40%
