Store.Number,A.B.Region,FY.15.OOS.Rate,Total.Footage,Average.Deliveries.Per.Week,Average.Cases.Delivered.Per.Week,Delivery.Schedule,Average.Deliveries.Per.Month,cluster
1158,2,0.062,77,2,415,MoTh,9,1
1171,2,0.032,48,3,570,TuThSa,14,1
1173,2,0.042,56,3,425,Sa,13,1
1182,2,0.031,48,4,833,Sa,17,1
1185,5,0.047,61,2,481,TuFr,9,1
1186,5,0.046,76,2,630,TuFr,9,1
1201,2,0.032,77,3,506,Fr,13,1
1203,2,0.042,68,3,655,Mo,13,1
1212,2,0.043,72,2,467,MoTh,9,1
1223,2,0.034,61,3,485,Sa,13,1
1238,2,0.041,56,2,445,TuFr,9,1
1240,7,0.073,56,2,730,TuFr,10,1
1241,4,0.061,88,2,413,TuFr,9,1
1245,2,0.048,156,3,779,TuThSa,15,1
1247,3,0.051,64,4,490,Tu,17,1
1261,2,0.037,56,2,416,TuTh,9,1
1279,5,0.039,61,3,725,Fr,11,1
1281,2,0.044,56,3,770,MoTh,11,1
1283,2,0.035,60,2,553,WeFr,9,1
1284,2,0.055,72,2,469,TuFr,9,1
1285,4,0.034,61,2,437,MoTh,9,1
1286,2,0.036,72,2,613,MoTh,9,1
1296,5,0.045,72,2,510,TuFr,9,1
1297,2,0.032,93,5,642,Sa,21,1
1300,2,0.033,72,2,493,TuFr,10,1
1306,5,0.047,61,2,788,TuFr,9,1
1313,5,0.032,84,2,711,TuFr,9,1
1324,7,0.036,61,2,739,TuFr,9,1
1326,4,0.039,76,2,903,WeFr,9,1
1327,3,0.036,72,2,695,Fr,9,1
1332,4,0.033,64,2,517,TuFr,10,1
1352,2,0.039,68,2,416,TuFr,9,1
1382,2,0.061,72,2,812,Fr,9,1
1383,2,0.082,69,2,732,TuFr,9,1
1385,2,0.042,72,2,402,MoTh,9,1
1391,2,0.053,73,3,738,MoThSa,14,1
1392,2,0.046,81,2,561,TuFr,9,1
1399,1,0.031,52,2,419,WeFr,9,1
1405,5,0.032,56,2,538,TuFr,9,1
1406,1,0.031,56,2,410,TuFr,9,1
1411,7,0.036,56,2,737,TuFr,9,1
1414,5,0.034,52,2,560,Tu,9,1
1418,3,0.036,60,3,502,TuTh,12,1
1426,3,0.041,52,3,547,Fr,13,1
1453,3,0.048,60,2,501,TuFr,9,1
1460,4,0.039,60,2,694,WeFr,10,1
1462,2,0.037,60,2,519,TuFr,9,1
1464,2,0.037,57,2,475,MoTh,9,1
1472,4,0.042,137,1,403,Mo,5,1
1493,2,0.036,48,2,526,MoTh,9,1
1513,2,0.039,60,3,466,Mo,13,1
1533,7,0.034,76,2,711,WeSa,9,1
1541,2,0.038,56,3,502,TuSa,13,1
1542,3,0.033,96,2,750,TuFr,9,1
1554,7,0.041,68,2,764,TuFr,10,1
1555,7,0.043,73,2,978,TuFr,10,1
1565,4,0.049,89,4,1344,We,17,1
1574,7,0.065,68,2,799,TuFr,9,1
1588,7,0.046,56,2,464,TuFr,9,1
1611,3,0.071,76,2,766,TuFr,9,1
1612,7,0.041,68,2,1143,TuFr,10,1
1613,2,0.031,60,2,447,MoTh,9,1
1624,7,0.052,72,3,641,TuFr,11,1
1631,1,0.033,72,2,497,TuFr,9,1
1660,7,0.052,72,4,700,TuFr,16,1
1664,2,0.036,72,2,652,TuTh,10,1
1709,3,0.031,60,2,544,TuFr,9,1
1726,1,0.032,120,2,597,TuTh,10,1
1749,1,0.04,84,2,533,TuTh,8,1
1752,3,0.038,56,2,498,TuTh,9,1
1767,2,0.047,61,2,599,TuFr,11,1
1798,3,0.041,73,2,447,TuTh,11,1
1805,7,0.043,56,2,607,TuFr,9,1
1806,1,0.033,56,3,508,MoWeFr,14,1
1809,3,0.044,57,2,427,MoTh,9,1
1811,1,0.038,56,3,409,MoWeFr,13,1
1832,7,0.035,68,2,597,TuFr,9,1
1834,6,0.046,77,2,706,TuFr,9,1
1837,5,0.041,60,2,533,TuFr,9,1
1842,2,0.038,57,2,426,Tu,9,1
1846,7,0.054,69,2,602,TuFr,9,1
1847,2,0.051,44,3,652,Sa,13,1
1859,7,0.037,48,2,1455,TuFr,9,1
1861,4,0.039,85,1,448,Mo,5,1
1871,1,0.036,60,5,635,MoTuWeThFr,20,1
1874,2,0.043,179,4,1014,Sa,18,1
1903,7,0.048,40,2,702,TuFr,10,1
1909,1,0.057,144,4,1314,Mo,17,1
1915,7,0.062,60,2,594,TuFr,9,1
1932,1,0.04,72,2,505,TuFr,9,1
1936,3,0.059,100,5,1680,MoFr,21,1
1949,1,0.043,40,2,640,MoTh,10,1
1956,6,0.036,61,5,644,MoSa,21,1
1965,4,0.032,60,3,630,MoWeFr,13,1
1976,1,0.039,76,3,482,Fr,13,1
1978,3,0.036,52,2,594,MoTu,9,1
1982,3,0.041,69,2,417,MoTh,9,1
1987,3,0.039,56,2,454,TuTh,9,1
1988,7,0.055,68,2,402,TuFr,11,1
1991,3,0.06,60,2,482,MoTh,9,1
2005,2,0.033,61,2,447,MoTh,9,1
2014,3,0.035,96,3,841,Fr,15,1
2021,1,0.032,60,2,423,TuFr,9,1
2048,7,0.049,64,2,458,TuFr,9,1
2050,7,0.031,60,2,510,TuFr,9,1
2053,7,0.036,44,2,555,WeFr,9,1
2055,1,0.041,60,2,757,TuFr,10,1
2066,5,0.045,64,2,414,TuFr,10,1
2079,3,0.04,81,4,639,Mo,18,1
2084,6,0.031,72,5,411,None,21,1
2113,7,0.031,57,2,562,TuFr,9,1
2116,1,0.044,84,3,473,WeFr,12,1
2142,1,0.041,92,2,881,TuFr,10,1
2187,6,0.031,48,2,469,TuTh,9,1
2192,3,0.033,64,4,401,MoWeFr,18,1
2214,2,0.048,72,3,437,MoTh,12,1
2234,1,0.039,68,2,519,TuFr,9,1
2237,2,0.036,60,3,811,FrSa,13,1
2239,5,0.043,64,2,631,TuFr,10,1
2262,1,0.05,56,4,495,Fr,17,1
2265,2,0.035,40,2,584,TuFr,9,1
2306,2,0.053,61,3,638,TuFr,13,1
2325,6,0.053,84,2,495,MoTh,8,1
2348,2,0.047,52,2,547,MoTh,9,1
2387,2,0.076,72,3,458,MoFr,13,1
2444,1,0.033,64,2,468,TuFr,9,1
2455,6,0.031,61,4,767,MoWeFrSa,17,1
2479,7,0.061,60,2,478,Fr,9,1
2534,2,0.037,64,2,511,TuFr,9,1
2537,7,0.041,88,3,673,TuThSa,14,1
2580,2,0.035,48,2,518,TuFr,11,1
2595,6,0.068,72,3,475,MoWeFr,13,1
2596,6,0.047,47,3,567,WeFr,12,1
2612,5,0.033,72,3,829,Sa,14,1
2626,2,0.035,64,3,931,Sa,13,1
2688,5,0.044,61,2,488,MoTh,9,1
2712,2,0.039,69,3,982,Fr,12,1
2716,4,0.04,57,2,861,TuFr,9,1
2724,5,0.039,84,2,709,TuFr,10,1
2727,2,0.081,73,2,489,TuFr,10,1
2728,3,0.031,49,2,585,TuFr,9,1
2748,2,0.036,117,3,1219,TuFr,15,1
2766,7,0.043,81,2,417,MoTh,9,1
2772,2,0.039,48,2,523,MoTh,9,1
2793,2,0.031,41,2,560,MoTh,9,1
2796,2,0.04,61,3,577,Sa,13,1
2807,1,0.036,48,2,535,Th,8,1
2869,3,0.039,56,2,405,TuFr,9,1
2920,2,0.034,61,3,505,Sa,13,1
2950,7,0.037,80,3,684,We,14,1
2951,7,0.043,76,3,701,Fr,15,1
2958,3,0.033,73,2,521,MoFr,9,1
2990,4,0.031,61,3,782,Fr,11,1
2992,1,0.044,60,4,553,MoTuThFr,17,1
3014,5,0.033,76,2,467,TuFr,9,1
3106,5,0.032,96,2,656,TuFr,10,1
3136,5,0.043,84,3,926,TuFrSa,15,1
3213,5,0.036,61,2,460,MoTh,9,1
3221,1,0.034,80,2,445,TuFr,9,1
3226,5,0.053,57,3,526,TuFr,11,1
3237,4,0.032,60,2,414,MoTh,10,1
3254,7,0.041,72,2,542,WeFr,10,1
3262,3,0.055,61,2,458,TuFr,9,1
3278,4,0.045,61,2,526,MoTh,10,1
3334,1,0.042,64,2,458,TuFr,9,1
3344,1,0.033,56,3,659,MoFr,13,1
3352,7,0.046,68,2,465,MoTh,9,1
3367,2,0.043,60,2,472,TuFr,9,1
3371,2,0.043,76,2,489,MoTh,9,1
3380,6,0.033,76,2,497,TuFr,9,1
3418,2,0.05,80,3,414,Mo,13,1
3428,5,0.036,56,2,570,WeFr,10,1
3433,5,0.033,68,2,563,TuFr,9,1
3522,7,0.07,68,2,501,TuFr,9,1
3525,6,0.042,60,2,440,TuFr,9,1
3527,2,0.046,56,3,514,TuSa,13,1
3538,2,0.056,61,3,450,Fr,13,1
3572,5,0.032,61,2,463,TuTh,9,1
3591,5,0.031,85,2,650,TuFr,9,1
3626,2,0.039,76,2,742,MoTh,9,1
3640,5,0.032,56,2,402,Fr,8,1
3652,7,0.035,73,2,474,TuFr,9,1
3702,2,0.044,73,3,490,Sa,14,1
3729,7,0.033,72,2,528,WeFr,9,1
3730,7,0.036,48,2,508,TuFr,9,1
3763,5,0.035,72,3,1074,Tu,13,1
3828,5,0.032,64,2,508,TuFr,9,1
4183,5,0.036,64,3,403,MoTh,12,1
4239,7,0.047,80,2,507,WeFr,9,1
4262,2,0.035,125,3,436,Sa,13,1
4318,2,0.038,76,2,540,TuFr,9,1
4332,2,0.05,76,3,791,TuSa,13,1
4333,2,0.044,80,2,452,TuFr,9,1
4337,7,0.032,108,2,1280,TuFr,9,1
4340,7,0.038,60,2,625,WeSa,9,1
4405,3,0.036,76,2,463,We,7,1
4416,5,0.033,59,3,697,MoTh,12,1
4538,5,0.053,76,2,473,MoTh,10,1
4540,3,0.039,52,2,515,MoTh,9,1
4564,2,0.033,64,3,495,TuTh,11,1
4593,2,0.042,60,3,587,TuFr,11,1
4601,5,0.031,60,2,762,TuFr,9,1
4664,2,0.04,60,2,466,TuFr,9,1
5031,7,0.035,48,2,698,TuFr,9,1
5036,2,0.044,56,3,428,Tu,13,1
5037,2,0.044,60,3,535,Sa,14,1
5045,5,0.049,56,2,512,Mo,10,1
5054,2,0.043,61,3,465,Sa,13,1
5055,2,0.053,56,3,680,Sa,13,1
5076,1,0.032,60,2,415,TuFr,9,1
5087,2,0.043,72,3,1005,Fr,12,1
5113,2,0.05,69,2,644,TuFr,9,1
5116,5,0.031,56,2,633,MoTh,8,1
5134,7,0.039,59,2,704,TuFr,10,1
5139,7,0.037,64,2,407,MoTh,9,1
5144,5,0.031,72,2,511,TuFr,10,1
5145,5,0.078,136,3,633,TuFr,11,1
5147,5,0.033,92,2,832,TuFr,9,1
5155,5,0.124,68,2,909,TuTh,9,1
5165,5,0.037,84,2,654,MoTh,9,1
5166,5,0.068,108,2,751,TuTh,9,1
5192,7,0.032,68,2,628,TuFr,9,1
5199,3,0.032,68,2,464,Mo,9,1
5218,2,0.064,151,3,483,TuSa,13,1
5231,7,0.041,60,2,421,MoTh,8,1
5247,5,0.031,68,2,600,TuFr,9,1
5250,2,0.059,151,3,451,TuSa,13,1
5254,2,0.039,56,2,485,TuFr,9,1
5260,5,0.036,76,3,409,Fr,12,1
5272,6,0.044,76,2,417,TuFr,9,1
5287,5,0.05,72,2,498,TuFr,9,1
5288,5,0.032,57,2,616,MoWe,9,1
5299,2,0.039,72,3,1310,MoWeFr,14,1
5312,5,0.037,68,2,633,TuFr,9,1
5316,5,0.046,72,2,582,MoTh,9,1
5326,2,0.063,76,3,621,Sa,13,1
5330,7,0.032,68,2,742,MoTh,9,1
5343,1,0.041,72,3,497,WeFr,13,1
5391,2,0.036,40,3,739,Sa,13,1
5394,7,0.05,40,3,998,TuFr,11,1
5416,5,0.043,60,2,552,TuFr,9,1
5419,2,0.033,60,2,421,TuFr,8,1
5425,7,0.032,40,2,594,We,8,1
5443,3,0.037,56,2,402,Fr,8,1
5494,6,0.031,76,2,466,TuFr,9,1
5626,7,0.052,48,2,740,WeFr,10,1
5703,2,0.044,60,2,423,Th,9,1
5705,2,0.045,52,3,824,Fr,12,1
5745,2,0.032,72,2,683,TuFr,9,1
5764,5,0.036,80,2,533,TuFr,9,1
5851,2,0.038,56,2,470,TuFr,9,1
5883,6,0.076,80,2,505,TuFr,9,1
5947,5,0.033,68,3,706,Sa,13,1
