Store Number,Average Deliveries Per Week,Average Deliveries Per Month,FY 15 OOS Rate,Average Cases Delivered Per Week,Store Type,Total Footage,A-B Region,Delivery Schedule
113,2,8,6.58%,397,BASE STR SUPERCENTER,32,5,MoTh
115,2,8,5.25%,174,BASE STR SUPERCENTER,24,2,MoTh
120,2,9,1.67%,344,BASE STR SUPERCENTER,32,2,MoTh
121,2,10,1.06%,333,BASE STR SUPERCENTER,24,5,TuFr
122,3,13,2.28%,406,BASE STR SUPERCENTER,24,4,We
123,2,8,4.47%,452,BASE STR SUPERCENTER,24,5,MoTh
124,2,8,2.20%,341,BASE STR SUPERCENTER,54,5,TuFr
125,5,21,3.31%,511,BASE STR SUPERCENTER,41,5,TuWeFr
126,2,9,2.90%,305,BASE STR SUPERCENTER,64,5,WeFr
129,2,9,4.41%,479,BASE STR SUPERCENTER,40,5,MoTh
130,3,12,2.04%,416,BASE STR SUPERCENTER,36,5,Fr
132,1,6,2.84%,225,BASE STR SUPERCENTER,24,5,Th
134,2,9,3.36%,314,BASE STR SUPERCENTER,24,5,TuFr
135,1,5,1.33%,387,BASE STR SUPERCENTER,60,4,Th
137,2,9,1.86%,562,BASE STR SUPERCENTER,40,5,TuFr
138,2,9,3.09%,472,BASE STR SUPERCENTER,32,4,Th
139,2,8,5.74%,286,BASE STR SUPERCENTER,24,5,Th
140,3,12,1.52%,671,BASE STR SUPERCENTER,60,5,TuFr
144,2,11,1.47%,691,BASE STR SUPERCENTER,56,5,TuFr
145,2,9,7.11%,236,BASE STR SUPERCENTER,32,4,TuFr
146,2,8,11.28%,215,BASE STR SUPERCENTER,16,5,TuFr
147,2,9,1.64%,512,BASE STR SUPERCENTER,60,5,MoFr
148,2,10,1.14%,971,BASE STR SUPERCENTER,73,5,MoTh
149,2,9,3.84%,228,BASE STR SUPERCENTER,40,5,TuFr
150,2,9,1.99%,400,BASE STR SUPERCENTER,56,5,WeFr
151,3,14,2.11%,518,BASE STR SUPERCENTER,40,5,Tu
152,2,10,1.44%,674,BASE STR SUPERCENTER,60,4,TuTh
155,2,9,6.10%,221,BASE STR SUPERCENTER,48,2,TuTh
158,2,9,2.23%,264,BASE STR SUPERCENTER,16,5,TuFr
159,3,13,1.73%,450,BASE STR SUPERCENTER,109,4,Fr
160,2,9,2.22%,554,BASE STR SUPERCENTER,48,5,TuFr
161,3,12,3.04%,191,BASE STR SUPERCENTER,44,2,MoTh
162,2,8,4.33%,238,BASE STR SUPERCENTER,28,5,MoTh
163,2,9,6.57%,689,BASE STR SUPERCENTER,72,5,TuFr
165,2,9,1.49%,669,BASE STR SUPERCENTER,48,5,MoTh
166,1,6,2.11%,224,BASE STR SUPERCENTER,36,4,Th
168,2,9,2.19%,414,BASE STR SUPERCENTER,41,5,MoTh
170,1,4,6.30%,374,BASE STR SUPERCENTER,72,5,Th
171,2,11,1.89%,412,BASE STR SUPERCENTER,24,5,MoTh
172,2,9,2.58%,814,BASE STR SUPERCENTER,68,4,TuFr
173,2,9,3.15%,241,BASE STR SUPERCENTER,24,4,TuFr
174,3,13,2.78%,847,BASE STR SUPERCENTER,56,2,Sa
175,2,8,5.74%,282,BASE STR SUPERCENTER,40,2,MoTh
177,5,20,2.94%,387,BASE STR SUPERCENTER,48,2,MoWeFr
178,2,8,3.98%,282,BASE STR SUPERCENTER,28,5,MoTh
179,2,10,3.62%,352,BASE STR SUPERCENTER,60,4,We
180,2,9,1.18%,793,BASE STR SUPERCENTER,48,5,TuFr
182,2,9,5.43%,299,BASE STR SUPERCENTER,41,2,TuFr
183,2,9,5.44%,180,BASE STR SUPERCENTER,24,2,MoTh
184,2,10,7.86%,612,BASE STR SUPERCENTER,68,4,MoTh
185,2,9,1.58%,1005,BASE STR SUPERCENTER,61,5,TuTh
186,2,9,1.56%,115,BASE STR SUPERCENTER,45,4,TuFr
188,5,21,2.79%,588,BASE STR SUPERCENTER,40,4,MoTuWeFr
189,2,9,2.90%,345,BASE STR SUPERCENTER,40,4,TuTh
190,2,9,4.06%,300,BASE STR SUPERCENTER,24,4,TuFr
192,2,9,2.19%,268,BASE STR SUPERCENTER,73,2,TuFr
194,2,10,6.12%,711,BASE STR SUPERCENTER,61,5,TuFr
195,2,9,3.91%,563,BASE STR SUPERCENTER,40,4,MoTh
196,2,8,1.32%,305,BASE STR SUPERCENTER,76,3,TuFr
197,2,9,1.18%,401,BASE STR SUPERCENTER,45,3,TuFr
198,2,9,1.61%,529,BASE STR SUPERCENTER,52,3,TuFr
199,2,9,4.11%,456,BASE STR SUPERCENTER,40,3,TuFr
200,2,9,1.30%,444,BASE STR SUPERCENTER,48,3,TuFr
201,2,9,4.20%,482,BASE STR SUPERCENTER,40,3,TuFr
203,3,12,2.20%,342,BASE STR SUPERCENTER,24,4,Fr
204,2,9,1.84%,241,BASE STR SUPERCENTER,16,3,MoTh
205,2,9,3.59%,403,BASE STR SUPERCENTER,48,2,TuFr
206,2,8,2.96%,471,BASE STR SUPERCENTER,63,5,MoTh
207,1,5,3.22%,236,BASE STR SUPERCENTER,36,5,Th
211,2,9,3.89%,373,BASE STR SUPERCENTER,48,5,TuFr
212,2,8,2.84%,367,BASE STR SUPERCENTER,41,5,MoTh
213,2,9,1.18%,533,BASE STR SUPERCENTER,49,3,TuFr
214,2,9,2.90%,660,BASE STR SUPERCENTER,56,5,MoTh
217,2,8,3.34%,402,BASE STR SUPERCENTER,60,5,MoTh
218,1,5,2.74%,153,BASE STR SUPERCENTER,16,2,Th
219,2,9,1.87%,751,BASE STR SUPERCENTER,56,4,TuFr
220,2,9,2.57%,558,BASE STR SUPERCENTER,72,5,TuFr
221,2,9,9.16%,339,BASE STR SUPERCENTER,24,5,TuFr
222,2,8,4.68%,430,BASE STR SUPERCENTER,48,3,MoWe
225,2,9,6.66%,359,BASE STR SUPERCENTER,24,5,MoTh
227,2,9,3.58%,364,BASE STR SUPERCENTER,24,5,TuFr
228,2,9,3.12%,533,BASE STR SUPERCENTER,72,5,TuFr
231,2,9,1.62%,319,BASE STR SUPERCENTER,35,5,TuTh
233,2,9,1.55%,311,BASE STR SUPERCENTER,24,3,MoTh
234,2,9,3.79%,767,BASE STR SUPERCENTER,81,4,MoTh
236,2,9,4.09%,479,BASE STR SUPERCENTER,55,5,MoTh
237,2,8,2.77%,291,BASE STR SUPERCENTER,68,3,MoTh
238,2,9,2.86%,276,BASE STR SUPERCENTER,24,2,TuFr
239,2,9,3.59%,167,BASE STR SUPERCENTER,24,2,TuFr
240,2,9,2.22%,392,BASE STR SUPERCENTER,56,5,MoTh
242,2,8,5.25%,95,BASE STR SUPERCENTER,24,4,TuFr
243,3,15,1.49%,884,BASE STR SUPERCENTER,52,4,TuThFr
244,2,8,5.08%,313,BASE STR SUPERCENTER,24,5,We
246,2,9,4.04%,325,BASE STR SUPERCENTER,24,5,TuFr
248,2,9,1.36%,386,BASE STR SUPERCENTER,48,5,TuFr
249,2,9,3.39%,947,BASE STR SUPERCENTER,48,5,TuFr
